state_key,excel_labels,notes
project_shifts,"No of shifts per day | Shifts day",""
project_hours_shift,"Working hours per shift | Hours shift",""
project_days_week,"Working days per week | Days week",""
project_total_cycle,"Total cycle time of machine | Cycle time",""
project_operating_time,"Total operating time per cycle | Axis on-time per cycle | Axis on time per cycle | Op time",""
project_service_life,"Expected service life of Machine | Service life",""
project_accuracy,"Movement accuracy required | Project accuracy | Accuracy",""
acc_pct,"Acceleration % | Acceleration time % | Accel decel time %",""
stroke,"Movement stroke required | Stroke","motion step input"
move_time,"Time available for displacement | Cycle time available for single movement | Move time","motion step input"
acceleration_time,"Time for acceleration | Acceleration time","motion step input"
deceleration_time,"Time for decceleration | Deceleration time | Decceleration time","motion step input"
dwell_time,"Dwell time","motion step input"
external_force,"Additional force acting on the axis | Additional force | External force on the moving mass | External force","motion step input"
_text_external_force_dir,"External force direction | Ext force direction",""
_text_movement_dir,"Payload movement direction | Movement direction",""
tilt_deg,"Inclination angle | Tilt angle of the setup","motion step input"
load_mass,"Payload mass","motion step input"
has_lm_guide,"LM Guide present | LM Guide needed",""
guide_mass,"Fixture / carriage mass (kg) | Fixture carriage mass | Moving mass | Carriage mass | Guide mass",""
guide_block_mass,"Guide block mass | Guide block mass per block | Mass per carriage block",""
guide_n_blocks,"No. carriage blocks | No carriage blocks | Number of carriage blocks",""
guide_force,"Displacement force required | Friction force | LM guide frcition force | Friction force per carriage block | Friction force per block",""
guide_max_force,"Max withstand force | LM guide friction force",""
guide_service_life,"Service life @100% load | Service life at 100 load | Service life for 100% loading",""
guide_model,"Selected guide model",""
_text_has_counterbalance,"Counterbalance present | Counterbalance exists | Counter balance exists",""
cb_mass,"Counterbalance mass | CB mass | Mass of the counterbalance",""
cb_angle_deg,"Inclination angle of counter balance | Counterbalance inclination angle | CB inclination",""
cb_mu,"Friction coefficient of counterbalance linear guide | Counterbalance friction coefficient | CB friction coeff",""
cb_bushing_friction_force,"Linear bush friction force (counterbalance) | Linear bush friction force counterbalance | Linear bush friction force",""
cb_n_bushings,"Number of linear bushings (counterbalance) | No of linear bushings counterbalance",""
bs_model,"Selected ball screw model",""
bs_pitch,"Ball screw pitch | BS lead | BS lead (mm/rev)",""
bs_dia,"Ball screw dia | BS diameter",""
bs_length,"Ball screw length | Ball screw rod length | BS length",""
bs_material,"Ball screw material | BS material",""
bs_efficiency_pct,"Ball screw efficiency | BS efficiency | Ballscrew efficiency",""
bs_nut_mass,"Ball screw nut mass | BS nut mass",""
bs_preload_torque,"BS preload torque | Ball screw preload torque | Preload torque",""
bs_n_fixed_blocks,"No of fixed side support block | No of fixed side support blocks | Number of fixed side support blocks",""
bs_fixed_drag_axial,"Fixed side drag per block axial | Fixed drag axial | Fixed side drag torque per block | Fixed side drag torque per block axial | Fixed side support block drag torque | Fixed side support block drag torque axial | Fixed side drag per block | Fixed side bearing drag torque",""
bs_fixed_drag_radial,"Fixed side drag per block radial | Fixed drag radial | Fixed side drag torque per block radial | Fixed side support block drag torque radial",""
bs_n_support_blocks,"No of support side support block | No of support side support blocks | Number of support side support blocks",""
bs_support_drag_axial,"Support side drag per block axial | Support side drag torque per block axial | Support drag axial | Support side drag torque per block | Support side support block drag torque | Support side support block drag torque axial | Support side drag per block | Support side bearing drag torque",""
bs_support_drag_radial,"Support side drag per block radial | Support side drag torque per block radial | Support drag radial | Support side support block drag torque radial",""
bs_max_speed_mms,"Ball screw - permitted velocity","converted to bs_max_speed"
bs_max_speed,"Max permitted speed",""
bs_max_torque,"Ball screw - permitted driving torque max | Ball screw permitted driving torque max | Ball screw - permitted driving torque | Max permitted torque",""
bs_repetition_accuracy,"Ball screw - repetition accuracy | Ball screw repetition accuracy | Repetition accuracy | Ball screw precision | Position accuracy",""
bs_bearing_drag_torque,"Ball screw friction torque | No load driving torque of spindle | Ballscrew bearing drag torque | Ball screw bearing drag torque | Bearing drag torque",""
has_parallel_kit,"Parallel Kit needed | Parallel Kit present",""
pk_model,"Selected parallel kit model",""
pk_ratio,"Gear ratio | PK ratio",""
pk_no_load_torque,"No load driving torque | No. load driving torque | PK no load",""
pk_inertia_mm2,"Mass momment of inertia | Mass moment of inertia","converted to pk_inertia"
pk_inertia,"derived from pk_inertia_mm2","derived"
pk_max_torque,"Max transfereable torque | Max. transferable torque | Max transferable torque | PK max torque",""
pk_max_speed,"Max rotational speed | Max. rotational speed | PK max speed",""
_text_has_gearbox,"Gearbox needed | Gearbox present",""
gb_ratio,"Selected gear ratio | GB ratio | Gearbox ratio",""
gb_efficiency_pct,"GB- efficiency | GB - efficiency | Gearbox efficiency",""
gb_efficiency,"derived from gb_efficiency_pct","derived"
gb_backlash,"GB-Backlash | GB - backlash | GB backlash | Gearbox backlash | Backlash | Backlash (arcmin)",""
gb_no_load_torque,"GB- no load running torque | GB - no load running torque | GB no load",""
gb_inertia,"Gearbox  - inertia | Gearbox - inertia | GB - inertia | GB inertia",""
gb_rated_input_speed,"GB - rated input speed",""
gb_rated_output_torque,"GB - rated output torque",""
sm_permitted_inertia_ratio,"SM - permitted inertia ratio",""
sm_encoder_ppr,"SM - encoder reolution | SM - encoder resolution",""
_ignore,"gear ratio required | bs inertia | gearbox accuracy | motor accuracy | total accuracy of the system | movement accuracy calc | ball screw - moving mass | ball screw - moment of inertia | ball screw moment of inertia | fixed side support block drag torque total | support side support block drag torque total | ballscrew preload nut friction | ballscrew preload force | preload nut friction coeffcient | preload nut friction coefficient | preload force | drag torque per block","ignored labels"
